,domains,state-province,country,alpha_two_code,web_pages,name
169,"['middlesbro.ac.uk', 'mbro.ac.uk']",,United Kingdom,GB,['https://www.mbro.ac.uk/'],Middlesbrough College
170,['stmarys.ac.uk'],,United Kingdom,GB,['https://www.stmarys.ac.uk/home.aspx'],St Mary's University
171,['leedstrinity.ac.uk'],,United Kingdom,GB,['https://www.leedstrinity.ac.uk/'],Leeds Trinity University
172,['eastcoast.ac.uk'],,United Kingdom,GB,['https://www.eastcoast.ac.uk/'],East Coast College
173,['swansea.ac.uk'],,United Kingdom,GB,['https://www.swansea.ac.uk/'],Swansea University
174,['yorksj.ac.uk'],,United Kingdom,GB,['https://www.yorksj.ac.uk/'],York St. John University
175,['cavc.ac.uk'],,United Kingdom,GB,['https://cavc.ac.uk/'],Cardiff and Vale College
176,['wakefield.ac.uk'],,United Kingdom,GB,['https://wakefield.ac.uk'],Wakefield College
177,['lis.ac.uk'],,United Kingdom,GB,['https://www.lis.ac.uk/'],London Interdisciplinary School
178,['bath.edu'],,United Kingdom,GB,['https://bath.ac.uk'],University of Bath
